planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_informed_rrt_star 64 16.2397 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 65 16.3709 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 66 16.5 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 67 16.6586 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 68 17.0422 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 69 17.0832 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 70 17.1532 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 71 17.8682 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 72 18.2257 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 73 18.5906 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 74 18.7377 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 75 19.3044 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 76 19.4149 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 77 19.8026 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 78 19.9924 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 79 20.0085 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 80 20.0762 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 81 20.2761 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 82 20.6371 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 83 20.8803 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 84 20.9351 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 85 21.0948 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 86 21.3272 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 87 21.4826 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 88 21.8621 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 89 21.9365 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 90 21.9938 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 91 22.0749 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 92 22.7721 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 93 22.9341 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 94 23.0576 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 95 23.3091 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 96 23.3487 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 97 23.4615 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 98 23.8311 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 99 24.0236 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 100 24.4153 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 101 24.5192 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 102 24.8936 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 103 25.3251 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 104 25.4168 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 105 25.829 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 106 26.0034 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 107 26.0297 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 108 26.7191 10000 10000 10000 17.4569 0.88319 17.4346
